id,movie_name,time,year,nation,director,company,grade,actor1,actor2,actor3,poster_url,link_url,user_rating,genre_id
383,쥬라기 공원,126,19930717,미국,스티븐 스필버그,유니버셜 픽쳐스,중학생이상관람가,280,618,896,https://ssl.pstatic.net/imgmovie/mdi/mit110/0677/67786_P13_165943.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=67786,7.88,18
384,비포 미드나잇,108,20130522,미국,리차드 링클레이터,(주)팝엔터테인먼트,청소년관람불가,281,619,910,https://ssl.pstatic.net/imgmovie/mdi/mit110/1023/102309_P19_104650.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102309,8.16,4
385,라스트 엑소시즘: 잠들지 않는 영혼,88,20130627,미국,에드 게스-도넬리,(주)팝파트너스,15세이상관람가,282,620,911,https://ssl.pstatic.net/imgmovie/mdi/mit110/1016/101645_P23_144432.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101645,6.82,2
386,관상,139,20130911,한국,한재림,(주)주피터필름,15세이상관람가,196,268,788,,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148632,0,9
387,컨저링,111,20130917,미국,제임스 완,워너브러더스 코리아(주),15세이상관람가,283,621,912,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175317_P01_152353.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175317,2.4,2
388,스파이,121,20130905,한국,이승준,(주)제이케이필름,15세이상관람가,1,622,488,,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172780,10,13
389,히든 카드,91,20130926,미국,브래드 퍼맨,이십세기폭스코리아(주),청소년관람불가,284,623,913,https://ssl.pstatic.net/imgmovie/mdi/mit110/0984/98404_P25_152454.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98404,6.06,8
390,블루 재스민,98,20130925,미국,우디 앨런,(주)인벤트스톤,15세이상관람가,285,411,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1043/104331_P23_144522.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=104331,8.52,4
391,섀도우 헌터스: 뼈의 도시,129,20130912,미국,해럴드 즈워트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,286,624,914,https://ssl.pstatic.net/imgmovie/mdi/mit110/0842/84216_P18_103742.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=84216,7.31,17
392,퍼시 잭슨과 괴물의 바다,106,20130912,미국,쏘어 프류덴탈,이십세기폭스코리아(주),12세이상관람가,287,625,915,https://ssl.pstatic.net/imgmovie/mdi/mit110/0931/93158_P31_115037.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93158,7.8,17
393,슈퍼배드 2,98,20130912,미국,크리스 리노드,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,288,150,207,https://ssl.pstatic.net/imgmovie/mdi/mit110/0921/92176_P33_151344.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92176,8.81,12
394,몬스터 대학교,110,20130912,미국,댄 스캔론,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,289,626,916,https://ssl.pstatic.net/imgmovie/mdi/mit110/0754/75415_P08_142744.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=75415,8.75,12
395,짓,108,20130925,한국,한종훈,㈜리필름,청소년관람불가,290,627,917,https://ssl.pstatic.net/imgmovie/mdi/mit110/1734/173468_P00_165142.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173468,0,5
396,변호인,126,20131218,한국,양우석,위더스필름(주),15세이상관람가,196,446,337,https://ssl.pstatic.net/imgmovie/mdi/mit110/1378/137865_P01_193055.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137865,9.09,4
397,용의자,137,20131224,한국,원신연,(주)그린피쉬,15세이상관람가,291,201,857,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161944_P15_160131.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161944,8.36,13
398,엔더스 게임,113,20131231,미국,개빈 후드,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,292,628,370,https://ssl.pstatic.net/imgmovie/mdi/mit110/0897/89723_P55_100228.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=89723,7.17,18
399,월터의 상상은 현실이 된다,114,20131231,미국,벤 스틸러,글뫼 주식회사,12세이상관람가,103,629,918,https://ssl.pstatic.net/imgmovie/mdi/mit110/0978/97858_P55_111921.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97858,8.7,14
400,썬더와 마법저택,85,20131224,벨기에,벤 스타센,씨제이이앤엠(주),전체관람가,293,630,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1162/116251_P37_113927.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=116251,8.81,12
401,어바웃 타임,123,20131205,영국,리차드 커티스,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,294,631,919,https://ssl.pstatic.net/imgmovie/mdi/mit110/0920/92075_P31_154949.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92075,9.16,5
402,저스틴,96,20131231,스페인,마누엘 시실라,(주)넥스트엔터테인먼트월드(NEW),전체관람가,295,218,659,https://ssl.pstatic.net/imgmovie/mdi/mit110/1845/184567_P01_153901.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184567,0,12
403,호빗: 스마우그의 폐허,161,20131212,미국,피터 잭슨,워너브러더스 코리아(주),12세이상관람가,260,312,285,https://ssl.pstatic.net/imgmovie/mdi/mit110/0745/74566_P20_140054.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74566,8.49,14
404,다이노소어 어드벤처 3D,87,20131219,미국,베리 쿡,이십세기폭스코리아(주),전체관람가,296,632,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100930_P19_171818.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100930,9,13
405,집으로 가는 길,130,20131211,한국,방은진,씨제이이앤엠(주),15세이상관람가,19,259,920,https://ssl.pstatic.net/imgmovie/mdi/mit110/1785/178535_P01_170536.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178535,0,4
406,캡틴 아메리카: 윈터 솔져,135,20140326,미국,조 루소,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,173,362,263,https://ssl.pstatic.net/imgmovie/mdi/mit110/0963/96327_P25_165148.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=96327,8.92,13
407,노아,139,20140320,미국,대런 아로노프스키,씨제이이앤엠(주),15세이상관람가,213,361,287,,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184729,0,14
408,우아한 거짓말,117,20140313,한국,이한,(주)유비유필름,12세이상관람가,297,633,921,https://ssl.pstatic.net/imgmovie/mdi/mit110/1065/106522_P17_093858.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=106522,8.36,4
409,그랜드 부다페스트 호텔,99,20140320,미국,웨스 앤더슨,(주)피터팬픽쳐스,청소년관람불가,170,369,540,https://ssl.pstatic.net/imgmovie/mdi/mit110/0976/97612_P65_134400.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97612,8.38,7
410,논스톱,106,20140227,미국,자움 콜렛 세라,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,54,634,922,https://ssl.pstatic.net/imgmovie/mdi/mit110/1768/176896_P06_171842.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176896,7.08,13
411,쓰리데이즈 투 킬,115,20140403,미국,맥지,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,298,635,370,https://ssl.pstatic.net/imgmovie/mdi/mit110/1006/100610_P07_113457.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100610,7.35,13
412,수상한 그녀,124,20140122,한국,황동혁,(주)예인플러스엔터테인먼트,15세이상관람가,299,152,923,https://ssl.pstatic.net/imgmovie/mdi/mit110/1447/144774_P07_171631.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144774,8.04,4
413,300: 제국의 부활,102,20140306,미국,노암 머로,워너브러더스 코리아(주),청소년관람불가,300,351,924,https://ssl.pstatic.net/imgmovie/mdi/mit110/0911/91192_P21_170603.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=91192,7.18,13
414,몬스터,113,20140313,한국,황인호,상상필름(주),청소년관람불가,266,636,925,https://ssl.pstatic.net/imgmovie/mdi/mit110/1373/137327_P00_140548.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137327,9.09,11
415,선 오브 갓,137,20140410,미국,크리스토퍼 스펜서,(주)프레인글로벌,12세이상관람가,301,637,926,https://ssl.pstatic.net/imgmovie/mdi/mit110/1183/118364_P18_113226.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118364,7.95,4
416,트랜스포머: 사라진 시대,164,20140625,미국,마이클 베이,씨제이이앤엠(주),12세이상관람가,255,638,927,https://ssl.pstatic.net/imgmovie/mdi/mit110/1006/100691_P20_111038.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100691,6.59,13
417,끝까지 간다,110,20140529,한국,김성훈,(주)에이디사공육,15세이상관람가,214,392,928,https://ssl.pstatic.net/imgmovie/mdi/mit110/1764/176453_P01_103145.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176453,7.44,13
