movie_code,movie_name,time,year,nation,director,company,grade,genre1,genre2,genre3,actor1,actor2,actor3
20060259,BB프로젝트,108,20060928,홍콩,진목승,브에나비스타인터내셔널코리아,12세관람가,액션,,,성룡,고천락,
20060291,잘 살아보세,120,20060928,한국,안진우,(주)굿플레이어,12세관람가,코미디,,,김정은,이범수,이창환
20060237,앤트 불리,88,20060928,미국,존 A. 데이비스,워너 브러더스 픽쳐스,전체관람가,애니메이션,코미디,,줄리아 로버츠,니콜라스 케이지,
20060272,구미호 가족,102,20060928,한국,이형곤,(주)엠케이픽처스 ,15세관람가,코미디,뮤지컬,판타지,주현,최경원,박준규
20060258,야연,112,20060921,중국,펑샤오강,롯데쇼핑㈜롯데엔터테인먼트,15세관람가,사극,멜로/로맨스,,장쯔이,갈우,오언조
20060250,귀향,120,20060921,스페인,페드로 알모도바르,까날 플러스,15세관람가,드라마,판타지,,페넬로페 크루즈,카르멘 마우라,
20060319,박물관이 살아있다!,108,20061221,미국,숀 레비,이십세기폭스필름코퍼레이션,전체관람가,코미디,어드벤처,,벤 스틸러,로빈 윌리엄스,
20060387,미녀는 괴로워,120,20061214,한국,김용화,리얼라이즈픽쳐스(주),12세이상관람가,멜로/로맨스,코미디,,김아중,주진모,김현숙
20060357,조폭마누라3,115,20061228,한국,조진규,(주)쇼박스,15세이상관람가,액션,코미디,,최령,이범수,서기
20060370,중천,102,20061221,한국,조동오,(주)나비픽처스,12세이상관람가,액션,드라마,판타지,정우성,김태희,정욱
20060358,007 카지노 로얄,145,20061221,미국,마틴 캠벨,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,액션,,,다니엘 크레이그,,
20060396,올드미스다이어리,108,20061221,한국,김석윤,(주)싸이더스,12세이상관람가,코미디,,,예지원,최찬숙,지현우
20060318,해피 피트,108,20061221,미국,조지 밀러,빌리지 로드쇼 픽쳐스,전체관람가,애니메이션,코미디,,로빈 윌리엄스,,
20060348,로맨틱 홀리데이,135,20061214,미국,낸시 마이어스,UIP코리아,15세이상관람가,코미디,멜로/로맨스,,카메론 디아즈,케이트 윈슬렛,
20060365,수면의 과학,106,20061221,프랑스,미셸 공드리,퍼티잔,15세이상관람가,코미디,판타지,,가엘 가르시아 베르날,샤를로뜨 갱스부르,
20060392,미스 리틀 선샤인,102,20061221,미국,조나단 데이턴,빅비치필름즈,15세이상관람가,코미디,드라마,,그렉 키니어,토니 콜렛,
20070084,이장과 군수,113,20070329,한국,장규성,(주)싸이더스,12세이상관람가,코미디,,,차승원,유해진,김응수
20070033,300,116,20070314,미국,잭 스나이더,워너 브러더스 픽쳐스,청소년관람불가,액션,,,제라드 버틀러,레나 헤디,
20070083,향수 : 어느 살인자의 이야기,146,20070322,영국,톰 티크베어,(주)누리픽쳐스,15세이상관람가,드라마,스릴러,,벤 위쇼,더스틴 호프만,
20070071,넘버23,98,20070322,미국,조엘 슈마허,뉴라인 시네마,15세이상관람가,스릴러,,,짐 캐리,버지니아 매드슨,
