movie_name,time,year,nation,director,company,grade,genres,actors,poster_url,link_url,user_rating
1987,129,20171227,한국,장준환,(주)우정필름,15세이상관람가,['드라마'],"['김윤석', '하정우', '유해진']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1716/171664_P01_174453.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171664,0.00
강철비,139,20171214,한국,양우석,(주)와이웍스엔터테인먼트,15세이상관람가,"['액션', '드라마']","['정우성', '곽도원', '김갑수']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1556/155665_P44_135138.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155665,8.34
위대한 쇼맨,104,20171220,미국,마이클 그레이시,이십세기폭스코리아(주),12세이상관람가,"['드라마', '뮤지컬']","['휴 잭맨', '잭 에프런', '미쉘 윌리엄스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1063/106360_P18_104023.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=106360,9.38
극장판 포켓몬스터 너로 정했다!,97,20171221,일본,유야마 쿠니히코,(주)이수C&E,전체관람가,"['애니메이션', '어드벤처', '가족']",[],https://ssl.pstatic.net/imgmovie/mdi/mit110/1657/165722_P02_102505.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=165722,8.85
몬스터 패밀리,92,20171221,독일,호거 태프,씨네그루(주)키다리이엔티,전체관람가,['애니메이션'],"['에밀리 왓슨', '닉 프로스트']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1638/163844_P12_144955.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163844,8.31
원더,113,20171227,미국,스티븐 크보스키,CGV아트하우스,전체관람가,['드라마'],"['줄리아 로버츠', '오웬 윌슨', '제이콥 트렘블레이']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168086_P01_143939.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168086,8.20
뽀로로 극장판 공룡섬 대모험,78,20171207,한국,김현호,(주)오콘,전체관람가,['애니메이션'],"['이선', '이미자', '함수정']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1693/169349_P08_145715.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169349,9.17
극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,65,20171228,일본,모리와키 마코토,(주)박수엔터테인먼트,전체관람가,['애니메이션'],[],https://ssl.pstatic.net/imgmovie/mdi/mit110/1685/168501_P10_153422.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168501,8.15
스타워즈: 라스트 제다이,151,20171214,미국,라이언 존슨,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"['액션', '어드벤처', '판타지']","['마크 해밀', '캐리 피셔', '아담 드라이버']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125488_P20_135324.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125488,6.55
곤지암,94,20180328,한국,정범식,(주)하이브미디어코프,15세이상관람가,"['공포(호러)', '스릴러']","['위하준', '박지현', '오아연']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1724/172454_P62_140358.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172454,6.42
